 u,U -> m,M
x-axis: "Mass{p3+p4}&"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.995000E+02 1.754079E-04 +/-  5.820689E-07
5.005000E+02 1.728652E-04 +/-  5.782978E-07
5.015000E+02 1.724275E-04 +/-  5.751699E-07
5.025000E+02 1.707846E-04 +/-  5.694350E-07
5.035000E+02 1.694453E-04 +/-  5.658277E-07
5.045000E+02 1.677332E-04 +/-  5.658199E-07
5.055000E+02 1.661327E-04 +/-  5.617617E-07
5.065000E+02 1.648633E-04 +/-  5.615393E-07
5.075000E+02 1.637742E-04 +/-  5.568471E-07
5.085000E+02 1.618171E-04 +/-  5.505251E-07
5.095000E+02 1.614540E-04 +/-  5.473751E-07
5.105000E+02 1.594673E-04 +/-  5.412444E-07
5.115000E+02 1.580835E-04 +/-  5.408043E-07
5.125000E+02 1.566085E-04 +/-  5.380006E-07
5.135000E+02 1.562917E-04 +/-  5.362904E-07
5.145000E+02 1.541328E-04 +/-  5.304442E-07
5.155000E+02 1.537002E-04 +/-  5.290022E-07
5.165000E+02 1.510206E-04 +/-  5.256336E-07
5.175000E+02 1.510272E-04 +/-  5.278754E-07
5.185000E+02 1.490094E-04 +/-  5.211029E-07
5.195000E+02 1.478918E-04 +/-  5.168158E-07
5.205000E+02 1.471691E-04 +/-  5.132198E-07
5.215000E+02 1.453241E-04 +/-  5.075071E-07
5.225000E+02 1.447671E-04 +/-  5.052560E-07
5.235000E+02 1.432925E-04 +/-  5.004046E-07
5.245000E+02 1.423480E-04 +/-  5.016902E-07
5.255000E+02 1.413574E-04 +/-  4.999630E-07
5.265000E+02 1.390673E-04 +/-  4.937204E-07
5.275000E+02 1.393219E-04 +/-  4.917908E-07
5.285000E+02 1.375544E-04 +/-  4.910406E-07
5.295000E+02 1.364621E-04 +/-  4.943216E-07
5.305000E+02 1.351203E-04 +/-  4.892581E-07
5.315000E+02 1.348316E-04 +/-  4.881489E-07
5.325000E+02 1.334545E-04 +/-  4.828590E-07
5.335000E+02 1.320737E-04 +/-  4.782421E-07
5.345000E+02 1.313172E-04 +/-  4.742089E-07
5.355000E+02 1.300806E-04 +/-  4.698807E-07
5.365000E+02 1.290689E-04 +/-  4.655052E-07
5.375000E+02 1.283827E-04 +/-  4.624301E-07
5.385000E+02 1.270533E-04 +/-  4.583205E-07
5.395000E+02 1.261007E-04 +/-  4.623607E-07
5.405000E+02 1.249361E-04 +/-  4.588684E-07
5.415000E+02 1.243130E-04 +/-  4.595623E-07
5.425000E+02 1.227613E-04 +/-  4.548834E-07
5.435000E+02 1.220830E-04 +/-  4.590538E-07
5.445000E+02 1.210692E-04 +/-  4.546726E-07
5.455000E+02 1.203184E-04 +/-  4.518083E-07
5.465000E+02 1.197019E-04 +/-  4.480761E-07
5.475000E+02 1.179069E-04 +/-  4.425607E-07
5.485000E+02 1.171697E-04 +/-  4.391548E-07
5.495000E+02 1.163566E-04 +/-  4.366274E-07
5.505000E+02 1.158148E-04 +/-  4.335218E-07
5.515000E+02 1.141475E-04 +/-  4.278724E-07
5.525000E+02 1.142945E-04 +/-  4.268879E-07
5.535000E+02 1.129596E-04 +/-  4.223136E-07
5.545000E+02 1.121381E-04 +/-  4.197317E-07
5.555000E+02 1.107554E-04 +/-  4.238336E-07
5.565000E+02 1.106936E-04 +/-  4.248763E-07
5.575000E+02 1.093915E-04 +/-  4.197418E-07
5.585000E+02 1.090679E-04 +/-  4.178512E-07
5.595000E+02 1.080218E-04 +/-  4.211912E-07
5.605000E+02 1.066326E-04 +/-  4.167877E-07
5.615000E+02 1.059367E-04 +/-  4.139689E-07
5.625000E+02 1.060229E-04 +/-  4.124598E-07
5.635000E+02 1.046565E-04 +/-  4.076776E-07
5.645000E+02 1.040063E-04 +/-  4.046946E-07
5.655000E+02 1.025592E-04 +/-  3.991706E-07
5.665000E+02 1.020078E-04 +/-  3.964519E-07
5.675000E+02 1.011032E-04 +/-  3.934815E-07
5.685000E+02 1.007025E-04 +/-  3.907557E-07
5.695000E+02 1.001368E-04 +/-  3.919034E-07
5.705000E+02 9.903076E-05 +/-  3.894680E-07
5.715000E+02 9.830930E-05 +/-  3.861589E-07
5.725000E+02 9.755420E-05 +/-  3.826359E-07
5.735000E+02 9.727355E-05 +/-  3.806550E-07
5.745000E+02 9.694156E-05 +/-  3.874389E-07
5.755000E+02 9.468067E-05 +/-  3.810098E-07
5.765000E+02 9.516210E-05 +/-  3.804281E-07
5.775000E+02 9.385709E-05 +/-  3.823162E-07
5.785000E+02 9.385019E-05 +/-  3.823262E-07
5.795000E+02 9.277398E-05 +/-  3.793043E-07
5.805000E+02 9.236865E-05 +/-  3.765315E-07
5.815000E+02 9.133179E-05 +/-  3.724715E-07
5.825000E+02 9.025258E-05 +/-  3.685144E-07
5.835000E+02 8.994225E-05 +/-  3.657746E-07
5.845000E+02 8.929080E-05 +/-  3.632943E-07
5.855000E+02 8.895489E-05 +/-  3.648811E-07
5.865000E+02 8.804307E-05 +/-  3.613048E-07
