 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.073000E+02 4.699312E+00 +/-  2.039785E-01
1.079000E+02 4.562164E+00 +/-  1.951487E-01
1.085000E+02 4.751014E+00 +/-  2.180782E-01
1.091000E+02 4.520718E+00 +/-  1.978232E-01
1.097000E+02 4.033669E+00 +/-  2.299927E-01
1.103000E+02 4.384099E+00 +/-  2.478515E-01
1.109000E+02 4.122146E+00 +/-  2.283433E-01
1.115000E+02 3.844746E+00 +/-  1.894858E-01
1.121000E+02 3.820744E+00 +/-  1.843082E-01
1.127000E+02 4.136726E+00 +/-  2.279919E-01
1.133000E+02 3.920851E+00 +/-  1.734978E-01
1.139000E+02 4.076415E+00 +/-  2.125281E-01
1.145000E+02 3.545582E+00 +/-  1.717382E-01
1.151000E+02 3.367051E+00 +/-  1.679786E-01
1.157000E+02 3.679088E+00 +/-  1.747088E-01
1.163000E+02 3.388720E+00 +/-  2.115126E-01
1.169000E+02 3.630474E+00 +/-  2.364757E-01
1.175000E+02 3.345832E+00 +/-  2.176041E-01
1.181000E+02 3.202448E+00 +/-  2.020690E-01
1.187000E+02 3.455554E+00 +/-  2.643077E-01
1.193000E+02 3.276260E+00 +/-  2.110410E-01
1.199000E+02 2.847041E+00 +/-  1.839737E-01
1.205000E+02 2.712679E+00 +/-  2.099102E-01
1.211000E+02 3.098293E+00 +/-  1.961635E-01
1.217000E+02 3.009440E+00 +/-  1.993583E-01
1.223000E+02 2.901872E+00 +/-  1.915781E-01
1.229000E+02 2.913500E+00 +/-  2.074645E-01
1.235000E+02 2.989689E+00 +/-  1.855064E-01
1.241000E+02 2.834809E+00 +/-  1.754881E-01
1.247000E+02 2.719569E+00 +/-  1.787130E-01
1.253000E+02 2.532513E+00 +/-  1.660573E-01
1.259000E+02 2.693661E+00 +/-  1.771838E-01
1.265000E+02 2.543779E+00 +/-  1.613926E-01
1.271000E+02 2.745214E+00 +/-  1.745207E-01
1.277000E+02 2.759811E+00 +/-  1.793809E-01
1.283000E+02 2.547705E+00 +/-  1.695374E-01
1.289000E+02 2.240914E+00 +/-  1.411210E-01
1.295000E+02 2.350475E+00 +/-  1.513254E-01
1.301000E+02 2.156820E+00 +/-  1.352619E-01
1.307000E+02 2.235797E+00 +/-  1.472472E-01
1.313000E+02 2.120385E+00 +/-  1.366436E-01
1.319000E+02 2.243137E+00 +/-  1.433135E-01
1.325000E+02 2.207314E+00 +/-  1.498485E-01
1.331000E+02 2.054599E+00 +/-  1.267964E-01
1.337000E+02 2.234942E+00 +/-  1.550881E-01
1.343000E+02 2.005671E+00 +/-  1.358872E-01
1.349000E+02 1.997405E+00 +/-  1.351994E-01
1.355000E+02 1.935524E+00 +/-  1.259357E-01
1.361000E+02 2.062319E+00 +/-  1.277573E-01
1.367000E+02 1.876957E+00 +/-  1.208473E-01
1.373000E+02 2.038862E+00 +/-  1.258594E-01
1.379000E+02 1.673533E+00 +/-  1.001866E-01
1.385000E+02 1.711400E+00 +/-  1.150249E-01
1.391000E+02 1.846271E+00 +/-  1.185677E-01
1.397000E+02 1.782441E+00 +/-  1.140344E-01
1.403000E+02 1.780400E+00 +/-  1.144047E-01
1.409000E+02 1.781009E+00 +/-  1.099838E-01
1.415000E+02 1.862557E+00 +/-  1.215217E-01
1.421000E+02 1.664353E+00 +/-  1.025267E-01
1.427000E+02 1.690739E+00 +/-  1.113715E-01
1.433000E+02 1.742944E+00 +/-  1.047088E-01
1.439000E+02 1.542398E+00 +/-  9.358895E-02
1.445000E+02 1.428328E+00 +/-  9.317671E-02
1.451000E+02 1.599828E+00 +/-  1.000875E-01
1.457000E+02 1.505308E+00 +/-  1.006913E-01
1.463000E+02 1.510591E+00 +/-  9.522971E-02
1.469000E+02 1.375363E+00 +/-  8.443706E-02
1.475000E+02 1.626672E+00 +/-  1.130805E-01
1.481000E+02 1.548836E+00 +/-  1.008031E-01
1.487000E+02 1.299806E+00 +/-  8.079813E-02
1.493000E+02 1.329959E+00 +/-  8.717811E-02
1.499000E+02 1.382078E+00 +/-  9.360949E-02
1.505000E+02 1.425037E+00 +/-  8.797528E-02
1.511000E+02 1.223252E+00 +/-  7.614324E-02
1.517000E+02 1.133109E+00 +/-  6.864327E-02
1.523000E+02 1.271670E+00 +/-  7.911415E-02
1.529000E+02 1.230635E+00 +/-  7.722214E-02
1.535000E+02 1.318485E+00 +/-  7.791137E-02
1.541000E+02 1.175127E+00 +/-  7.403332E-02
1.547000E+02 1.057541E+00 +/-  6.606565E-02
1.553000E+02 1.161057E+00 +/-  7.636408E-02
1.559000E+02 1.235195E+00 +/-  7.298625E-02
1.565000E+02 1.219648E+00 +/-  7.347491E-02
1.571000E+02 1.138980E+00 +/-  7.204841E-02
1.577000E+02 1.169826E+00 +/-  7.075448E-02
1.583000E+02 1.145516E+00 +/-  6.843375E-02
1.589000E+02 1.138159E+00 +/-  6.855679E-02
1.595000E+02 1.110129E+00 +/-  6.883795E-02
1.601000E+02 1.118634E+00 +/-  6.793210E-02
1.607000E+02 1.030265E+00 +/-  6.086342E-02
1.613000E+02 9.361343E-01 +/-  5.956124E-02
1.619000E+02 1.077694E+00 +/-  6.489306E-02
1.625000E+02 9.416812E-01 +/-  5.901194E-02
1.631000E+02 9.839136E-01 +/-  5.872061E-02
1.637000E+02 9.703217E-01 +/-  6.024662E-02
1.643000E+02 9.323882E-01 +/-  5.701920E-02
1.649000E+02 9.082972E-01 +/-  5.407582E-02
1.655000E+02 8.550373E-01 +/-  5.664675E-02
1.661000E+02 9.560707E-01 +/-  5.855328E-02
1.667000E+02 1.018397E+00 +/-  6.450916E-02
1.673000E+02 8.839325E-01 +/-  5.410535E-02
1.679000E+02 9.154302E-01 +/-  5.254820E-02
1.685000E+02 9.031995E-01 +/-  5.471365E-02
1.691000E+02 8.390795E-01 +/-  5.222865E-02
1.697000E+02 8.352068E-01 +/-  5.090984E-02
1.703000E+02 8.904143E-01 +/-  5.248436E-02
1.709000E+02 7.445237E-01 +/-  4.722096E-02
1.715000E+02 8.235115E-01 +/-  4.720110E-02
1.721000E+02 8.222668E-01 +/-  5.118340E-02
1.727000E+02 8.391394E-01 +/-  4.934307E-02
1.733000E+02 8.170002E-01 +/-  4.530869E-02
1.739000E+02 7.925930E-01 +/-  4.715332E-02
1.745000E+02 7.776577E-01 +/-  4.597896E-02
1.751000E+02 8.289121E-01 +/-  5.099572E-02
1.757000E+02 7.354389E-01 +/-  4.566876E-02
1.763000E+02 6.913598E-01 +/-  4.099951E-02
1.769000E+02 7.547824E-01 +/-  4.161998E-02
1.775000E+02 6.845115E-01 +/-  3.892546E-02
1.781000E+02 6.646725E-01 +/-  3.887659E-02
1.787000E+02 6.757140E-01 +/-  4.042922E-02
1.793000E+02 7.162112E-01 +/-  4.158383E-02
1.799000E+02 7.503981E-01 +/-  4.297056E-02
1.805000E+02 6.629685E-01 +/-  4.034420E-02
1.811000E+02 6.970531E-01 +/-  4.285776E-02
1.817000E+02 6.961546E-01 +/-  4.134997E-02
1.823000E+02 7.048683E-01 +/-  4.221439E-02
1.829000E+02 6.726526E-01 +/-  3.763074E-02
1.835000E+02 6.312194E-01 +/-  3.724992E-02
1.841000E+02 6.445115E-01 +/-  3.966531E-02
1.847000E+02 5.977968E-01 +/-  3.333767E-02
1.853000E+02 6.321041E-01 +/-  3.643311E-02
1.859000E+02 6.012836E-01 +/-  3.517926E-02
1.865000E+02 5.817479E-01 +/-  3.193790E-02
1.871000E+02 5.359265E-01 +/-  3.054803E-02
1.877000E+02 6.051432E-01 +/-  3.525538E-02
1.883000E+02 5.795041E-01 +/-  3.437252E-02
1.889000E+02 5.321570E-01 +/-  3.121190E-02
1.895000E+02 5.577190E-01 +/-  3.126872E-02
1.901000E+02 6.210147E-01 +/-  3.477626E-02
1.907000E+02 4.960376E-01 +/-  2.783761E-02
1.913000E+02 5.501988E-01 +/-  3.286690E-02
1.919000E+02 5.688928E-01 +/-  3.347129E-02
1.925000E+02 5.096450E-01 +/-  2.951104E-02
1.931000E+02 5.487727E-01 +/-  3.315924E-02
1.937000E+02 4.754296E-01 +/-  2.674431E-02
1.943000E+02 5.671022E-01 +/-  3.283384E-02
1.949000E+02 5.185109E-01 +/-  2.965725E-02
1.955000E+02 4.901783E-01 +/-  2.942301E-02
1.961000E+02 5.052911E-01 +/-  3.094089E-02
1.967000E+02 5.022803E-01 +/-  2.925382E-02
1.973000E+02 5.013598E-01 +/-  3.033326E-02
1.979000E+02 4.913723E-01 +/-  3.110977E-02
1.985000E+02 4.646120E-01 +/-  2.573991E-02
1.991000E+02 4.354622E-01 +/-  2.695246E-02
1.997000E+02 4.943790E-01 +/-  2.795752E-02
