 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.241000E+02 3.325136E-01 +/-  9.090837E-03
1.247000E+02 3.118741E-01 +/-  8.411752E-03
1.253000E+02 2.996984E-01 +/-  7.956915E-03
1.259000E+02 2.850532E-01 +/-  7.541917E-03
1.265000E+02 2.821401E-01 +/-  7.644501E-03
1.271000E+02 2.748003E-01 +/-  7.673148E-03
1.277000E+02 2.671025E-01 +/-  7.337453E-03
1.283000E+02 2.588401E-01 +/-  7.261763E-03
1.289000E+02 2.440660E-01 +/-  6.550355E-03
1.295000E+02 2.349725E-01 +/-  6.164722E-03
1.301000E+02 2.210845E-01 +/-  5.625397E-03
1.307000E+02 2.054511E-01 +/-  5.087946E-03
1.313000E+02 2.099515E-01 +/-  5.609006E-03
1.319000E+02 1.942058E-01 +/-  4.981281E-03
1.325000E+02 1.961611E-01 +/-  5.188656E-03
1.331000E+02 1.767860E-01 +/-  4.655889E-03
1.337000E+02 1.721752E-01 +/-  4.337346E-03
1.343000E+02 1.799195E-01 +/-  4.840552E-03
1.349000E+02 1.676423E-01 +/-  4.370034E-03
1.355000E+02 1.606709E-01 +/-  4.149286E-03
1.361000E+02 1.503451E-01 +/-  3.794189E-03
1.367000E+02 1.564902E-01 +/-  4.288127E-03
1.373000E+02 1.477962E-01 +/-  3.973881E-03
1.379000E+02 1.426231E-01 +/-  3.735704E-03
1.385000E+02 1.404004E-01 +/-  3.856003E-03
1.391000E+02 1.374583E-01 +/-  3.746196E-03
1.397000E+02 1.320854E-01 +/-  3.623918E-03
1.403000E+02 1.302803E-01 +/-  4.496477E-03
1.409000E+02 1.186782E-01 +/-  4.124756E-03
1.415000E+02 1.145394E-01 +/-  3.976345E-03
1.421000E+02 1.135499E-01 +/-  3.942052E-03
1.427000E+02 1.094166E-01 +/-  3.781654E-03
1.433000E+02 1.077474E-01 +/-  3.770970E-03
1.439000E+02 9.880488E-02 +/-  3.449956E-03
1.445000E+02 1.057272E-01 +/-  3.673042E-03
1.451000E+02 1.011776E-01 +/-  3.478319E-03
1.457000E+02 9.433359E-02 +/-  3.282492E-03
1.463000E+02 9.283703E-02 +/-  3.237070E-03
1.469000E+02 1.022678E-01 +/-  3.508660E-03
1.475000E+02 9.090283E-02 +/-  3.091250E-03
1.481000E+02 9.015316E-02 +/-  3.078483E-03
1.487000E+02 8.607511E-02 +/-  2.941187E-03
1.493000E+02 8.561534E-02 +/-  2.942086E-03
1.499000E+02 8.078483E-02 +/-  2.762349E-03
1.505000E+02 7.543241E-02 +/-  2.583773E-03
1.511000E+02 7.590057E-02 +/-  2.602026E-03
1.517000E+02 7.648024E-02 +/-  2.582833E-03
1.523000E+02 7.384125E-02 +/-  2.495176E-03
1.529000E+02 7.142412E-02 +/-  2.429588E-03
1.535000E+02 7.001217E-02 +/-  2.352995E-03
1.541000E+02 6.698933E-02 +/-  2.270867E-03
1.547000E+02 6.992634E-02 +/-  2.348762E-03
1.553000E+02 6.425794E-02 +/-  2.185521E-03
1.559000E+02 6.370629E-02 +/-  2.115373E-03
1.565000E+02 6.396333E-02 +/-  2.152162E-03
1.571000E+02 6.189876E-02 +/-  2.094834E-03
1.577000E+02 5.874638E-02 +/-  1.960885E-03
1.583000E+02 5.614444E-02 +/-  1.880904E-03
1.589000E+02 5.596855E-02 +/-  1.843794E-03
1.595000E+02 5.329336E-02 +/-  1.760012E-03
1.601000E+02 5.144901E-02 +/-  1.692009E-03
1.607000E+02 5.357980E-02 +/-  1.793173E-03
1.613000E+02 5.293184E-02 +/-  1.742013E-03
1.619000E+02 4.978943E-02 +/-  1.626045E-03
1.625000E+02 4.746079E-02 +/-  1.540277E-03
1.631000E+02 4.900666E-02 +/-  1.594245E-03
1.637000E+02 4.900853E-02 +/-  1.611720E-03
1.643000E+02 4.449594E-02 +/-  1.489815E-03
1.649000E+02 4.590013E-02 +/-  1.508310E-03
1.655000E+02 4.404518E-02 +/-  1.442680E-03
1.661000E+02 4.099474E-02 +/-  1.366179E-03
1.667000E+02 4.180243E-02 +/-  1.348438E-03
1.673000E+02 4.090560E-02 +/-  1.291161E-03
1.679000E+02 4.050593E-02 +/-  1.317720E-03
1.685000E+02 4.023701E-02 +/-  1.326908E-03
1.691000E+02 3.861621E-02 +/-  1.266233E-03
1.697000E+02 4.145929E-02 +/-  1.347414E-03
1.703000E+02 3.846707E-02 +/-  1.226756E-03
