 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.880000E+02 6.675118E-04 +/-  5.888203E-06
2.896000E+02 6.482710E-04 +/-  5.789582E-06
2.912000E+02 6.324873E-04 +/-  5.548671E-06
2.928000E+02 6.221495E-04 +/-  5.499408E-06
2.944000E+02 6.005326E-04 +/-  5.276426E-06
2.960000E+02 5.926772E-04 +/-  5.248597E-06
2.976000E+02 5.749871E-04 +/-  5.077088E-06
2.992000E+02 5.678184E-04 +/-  5.006588E-06
3.008000E+02 5.555712E-04 +/-  4.861523E-06
3.024000E+02 5.388101E-04 +/-  4.745731E-06
3.040000E+02 5.253135E-04 +/-  4.607950E-06
3.056000E+02 5.152320E-04 +/-  4.479974E-06
3.072000E+02 5.026555E-04 +/-  4.345475E-06
3.088000E+02 4.905149E-04 +/-  4.300594E-06
3.104000E+02 4.785172E-04 +/-  4.199448E-06
3.120000E+02 4.766226E-04 +/-  4.158668E-06
3.136000E+02 4.601431E-04 +/-  3.950510E-06
3.152000E+02 4.469301E-04 +/-  3.827210E-06
3.168000E+02 4.382917E-04 +/-  3.810272E-06
3.184000E+02 4.285879E-04 +/-  3.809111E-06
3.200000E+02 4.235033E-04 +/-  3.793425E-06
3.216000E+02 4.108194E-04 +/-  3.678959E-06
3.232000E+02 4.044230E-04 +/-  4.418707E-06
3.248000E+02 3.977614E-04 +/-  4.707451E-06
3.264000E+02 3.853502E-04 +/-  4.416644E-06
3.280000E+02 3.748131E-04 +/-  4.243960E-06
3.296000E+02 3.750675E-04 +/-  4.362810E-06
3.312000E+02 3.586363E-04 +/-  4.173279E-06
3.328000E+02 3.451546E-04 +/-  3.873452E-06
3.344000E+02 3.460204E-04 +/-  3.941268E-06
3.360000E+02 3.374461E-04 +/-  3.893262E-06
3.376000E+02 3.329616E-04 +/-  3.832435E-06
3.392000E+02 3.235073E-04 +/-  3.746201E-06
3.408000E+02 3.188257E-04 +/-  3.701116E-06
3.424000E+02 3.123944E-04 +/-  3.509688E-06
3.440000E+02 3.068752E-04 +/-  3.459372E-06
3.456000E+02 3.038982E-04 +/-  3.467200E-06
3.472000E+02 2.979385E-04 +/-  3.285399E-06
3.488000E+02 2.873603E-04 +/-  3.198471E-06
3.504000E+02 2.856638E-04 +/-  3.235487E-06
3.520000E+02 2.788873E-04 +/-  3.224833E-06
3.536000E+02 2.740557E-04 +/-  3.175769E-06
3.552000E+02 2.651078E-04 +/-  3.471551E-06
