 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.600000E+02 9.566352E-04 +/-  7.571609E-06
3.616000E+02 9.408415E-04 +/-  7.393877E-06
3.632000E+02 9.197093E-04 +/-  7.238962E-06
3.648000E+02 9.087951E-04 +/-  7.165972E-06
3.664000E+02 8.899275E-04 +/-  8.186443E-06
3.680000E+02 8.586818E-04 +/-  7.980504E-06
3.696000E+02 8.596607E-04 +/-  8.091986E-06
3.712000E+02 8.470274E-04 +/-  7.854596E-06
3.728000E+02 8.223177E-04 +/-  7.717728E-06
3.744000E+02 8.237221E-04 +/-  7.961847E-06
3.760000E+02 7.962922E-04 +/-  7.289951E-06
3.776000E+02 7.915783E-04 +/-  7.489256E-06
3.792000E+02 7.621998E-04 +/-  7.121821E-06
3.808000E+02 7.669757E-04 +/-  7.170431E-06
3.824000E+02 7.332110E-04 +/-  6.768992E-06
3.840000E+02 7.363034E-04 +/-  6.849607E-06
3.856000E+02 7.156683E-04 +/-  6.518701E-06
3.872000E+02 7.175952E-04 +/-  6.801753E-06
3.888000E+02 6.881515E-04 +/-  6.250504E-06
3.904000E+02 6.852614E-04 +/-  6.494795E-06
3.920000E+02 6.628801E-04 +/-  6.619696E-06
3.936000E+02 6.593942E-04 +/-  6.675636E-06
3.952000E+02 6.637646E-04 +/-  7.115264E-06
3.968000E+02 6.365076E-04 +/-  6.611187E-06
3.984000E+02 6.436986E-04 +/-  6.921261E-06
4.000000E+02 6.136573E-04 +/-  6.419181E-06
4.016000E+02 6.172352E-04 +/-  6.427418E-06
4.032000E+02 5.986899E-04 +/-  6.401650E-06
4.048000E+02 5.827539E-04 +/-  6.081401E-06
4.064000E+02 5.799112E-04 +/-  5.975520E-06
4.080000E+02 5.626181E-04 +/-  5.857452E-06
4.096000E+02 5.474816E-04 +/-  5.585026E-06
4.112000E+02 5.529362E-04 +/-  5.693615E-06
4.128000E+02 5.468845E-04 +/-  5.711116E-06
4.144000E+02 5.262616E-04 +/-  5.257991E-06
4.160000E+02 5.226208E-04 +/-  5.275392E-06
4.176000E+02 5.148070E-04 +/-  5.269611E-06
4.192000E+02 4.984704E-04 +/-  5.099902E-06
4.208000E+02 4.997758E-04 +/-  5.094378E-06
4.224000E+02 4.922571E-04 +/-  5.011440E-06
4.240000E+02 4.812926E-04 +/-  4.953461E-06
