 G,G -> u,U
x-axis: "Mass{p3+p4}$"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.395500E+03 -1.096881E-02 +/-  3.175051E-05
1.396500E+03 -1.086289E-02 +/-  3.158359E-05
1.397500E+03 -1.081795E-02 +/-  3.142190E-05
1.398500E+03 -1.077084E-02 +/-  3.130707E-05
1.399500E+03 -1.076009E-02 +/-  3.117021E-05
1.400500E+03 -1.067832E-02 +/-  3.112459E-05
1.401500E+03 -1.064542E-02 +/-  3.103947E-05
1.402500E+03 -1.059413E-02 +/-  3.098610E-05
1.403500E+03 -1.054637E-02 +/-  3.091571E-05
1.404500E+03 -1.045789E-02 +/-  3.072714E-05
1.405500E+03 -1.044331E-02 +/-  3.062380E-05
1.406500E+03 -1.041366E-02 +/-  3.051460E-05
1.407500E+03 -1.033525E-02 +/-  3.037713E-05
1.408500E+03 -1.025653E-02 +/-  3.025346E-05
1.409500E+03 -1.023215E-02 +/-  3.021936E-05
1.410500E+03 -1.017364E-02 +/-  3.013330E-05
1.411500E+03 -1.021449E-02 +/-  3.020091E-05
1.412500E+03 -1.008750E-02 +/-  2.994221E-05
1.413500E+03 -1.004188E-02 +/-  2.978975E-05
1.414500E+03 -1.001636E-02 +/-  2.972166E-05
1.415500E+03 -9.957110E-03 +/-  2.961873E-05
1.416500E+03 -9.922847E-03 +/-  2.954438E-05
1.417500E+03 -9.876361E-03 +/-  2.943752E-05
1.418500E+03 -9.831160E-03 +/-  2.938962E-05
1.419500E+03 -9.779804E-03 +/-  2.930751E-05
1.420500E+03 -9.728815E-03 +/-  2.920581E-05
1.421500E+03 -9.679961E-03 +/-  2.903050E-05
1.422500E+03 -9.672248E-03 +/-  2.899776E-05
1.423500E+03 -9.564186E-03 +/-  2.881341E-05
1.424500E+03 -9.545302E-03 +/-  2.874015E-05
1.425500E+03 -9.519001E-03 +/-  2.863957E-05
1.426500E+03 -9.480478E-03 +/-  2.863338E-05
1.427500E+03 -9.410222E-03 +/-  2.852156E-05
1.428500E+03 -9.374104E-03 +/-  2.843441E-05
1.429500E+03 -9.366783E-03 +/-  2.839410E-05
1.430500E+03 -9.292612E-03 +/-  2.821396E-05
1.431500E+03 -9.246137E-03 +/-  2.809102E-05
1.432500E+03 -9.191274E-03 +/-  2.802196E-05
1.433500E+03 -9.190347E-03 +/-  2.792864E-05
1.434500E+03 -9.097713E-03 +/-  2.776601E-05
1.435500E+03 -9.080541E-03 +/-  2.774465E-05
1.436500E+03 -9.056148E-03 +/-  2.778908E-05
1.437500E+03 -9.014850E-03 +/-  2.768963E-05
1.438500E+03 -8.939411E-03 +/-  2.750580E-05
1.439500E+03 -8.929262E-03 +/-  2.740932E-05
1.440500E+03 -8.884606E-03 +/-  2.734401E-05
1.441500E+03 -8.838251E-03 +/-  2.724204E-05
1.442500E+03 -8.780440E-03 +/-  2.706685E-05
1.443500E+03 -8.759073E-03 +/-  2.701903E-05
1.444500E+03 -8.703225E-03 +/-  2.696714E-05
1.445500E+03 -8.688656E-03 +/-  2.701380E-05
1.446500E+03 -8.648438E-03 +/-  2.689232E-05
1.447500E+03 -8.570979E-03 +/-  2.668518E-05
1.448500E+03 -8.540890E-03 +/-  2.658445E-05
1.449500E+03 -8.547646E-03 +/-  2.661184E-05
1.450500E+03 -8.462742E-03 +/-  2.641987E-05
1.451500E+03 -8.454287E-03 +/-  2.632997E-05
1.452500E+03 -8.388566E-03 +/-  2.621685E-05
1.453500E+03 -8.358032E-03 +/-  2.622513E-05
1.454500E+03 -8.322820E-03 +/-  2.616872E-05
