 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.085000E+02 4.131683E+01 +/-  1.116675E+00
1.091000E+02 3.810867E+01 +/-  1.054445E+00
1.097000E+02 4.094008E+01 +/-  1.146273E+00
1.103000E+02 3.902832E+01 +/-  1.071624E+00
1.109000E+02 3.822369E+01 +/-  9.953879E-01
1.115000E+02 3.541186E+01 +/-  1.162721E+00
1.121000E+02 3.630341E+01 +/-  1.171451E+00
1.127000E+02 3.677180E+01 +/-  1.208243E+00
1.133000E+02 3.385548E+01 +/-  1.086981E+00
1.139000E+02 3.532267E+01 +/-  1.151699E+00
1.145000E+02 3.218543E+01 +/-  1.016034E+00
1.151000E+02 3.249011E+01 +/-  1.048908E+00
1.157000E+02 3.258879E+01 +/-  1.059592E+00
1.163000E+02 3.157176E+01 +/-  1.034571E+00
1.169000E+02 3.129648E+01 +/-  1.015870E+00
1.175000E+02 2.897700E+01 +/-  9.306842E-01
1.181000E+02 2.818731E+01 +/-  8.998786E-01
1.187000E+02 2.933892E+01 +/-  9.436942E-01
1.193000E+02 2.756179E+01 +/-  8.723765E-01
1.199000E+02 2.747831E+01 +/-  8.910276E-01
1.205000E+02 2.734621E+01 +/-  8.716917E-01
1.211000E+02 2.602171E+01 +/-  8.095368E-01
1.217000E+02 2.563677E+01 +/-  8.176792E-01
1.223000E+02 2.554375E+01 +/-  7.977370E-01
1.229000E+02 2.463086E+01 +/-  7.460272E-01
1.235000E+02 2.485851E+01 +/-  7.872501E-01
1.241000E+02 2.400073E+01 +/-  7.681611E-01
1.247000E+02 2.314545E+01 +/-  7.309514E-01
1.253000E+02 2.396944E+01 +/-  7.506649E-01
1.259000E+02 2.271590E+01 +/-  6.979094E-01
1.265000E+02 2.299186E+01 +/-  6.859571E-01
1.271000E+02 2.321028E+01 +/-  7.241764E-01
1.277000E+02 2.007335E+01 +/-  6.247876E-01
1.283000E+02 2.139815E+01 +/-  6.477863E-01
1.289000E+02 2.083122E+01 +/-  6.413735E-01
1.295000E+02 2.025646E+01 +/-  6.240614E-01
1.301000E+02 1.914356E+01 +/-  5.893397E-01
1.307000E+02 1.958075E+01 +/-  6.098086E-01
1.313000E+02 1.821674E+01 +/-  5.610509E-01
1.319000E+02 1.962978E+01 +/-  5.976003E-01
1.325000E+02 1.846710E+01 +/-  5.786482E-01
1.331000E+02 1.841981E+01 +/-  5.666371E-01
1.337000E+02 1.756464E+01 +/-  5.413774E-01
1.343000E+02 1.774107E+01 +/-  5.489032E-01
1.349000E+02 1.689156E+01 +/-  5.244481E-01
1.355000E+02 1.680394E+01 +/-  5.240294E-01
1.361000E+02 1.672582E+01 +/-  5.204413E-01
1.367000E+02 1.687898E+01 +/-  5.205688E-01
1.373000E+02 1.649909E+01 +/-  4.985441E-01
1.379000E+02 1.616271E+01 +/-  4.980077E-01
1.385000E+02 1.515034E+01 +/-  4.603882E-01
1.391000E+02 1.500592E+01 +/-  4.581711E-01
1.397000E+02 1.466702E+01 +/-  4.494504E-01
1.403000E+02 1.417997E+01 +/-  4.396091E-01
1.409000E+02 1.429884E+01 +/-  4.361526E-01
1.415000E+02 1.438954E+01 +/-  4.332098E-01
1.421000E+02 1.357164E+01 +/-  4.067545E-01
1.427000E+02 1.357371E+01 +/-  4.107257E-01
1.433000E+02 1.336154E+01 +/-  4.074775E-01
1.439000E+02 1.349996E+01 +/-  4.066463E-01
1.445000E+02 1.376268E+01 +/-  4.112859E-01
1.451000E+02 1.284910E+01 +/-  3.839292E-01
1.457000E+02 1.244917E+01 +/-  3.754575E-01
1.463000E+02 1.291184E+01 +/-  3.865181E-01
1.469000E+02 1.186938E+01 +/-  3.596987E-01
1.475000E+02 1.221848E+01 +/-  3.580229E-01
1.481000E+02 1.140080E+01 +/-  3.445643E-01
1.487000E+02 1.158708E+01 +/-  3.435573E-01
1.493000E+02 1.170961E+01 +/-  3.441147E-01
1.499000E+02 1.138921E+01 +/-  3.346821E-01
1.505000E+02 1.076256E+01 +/-  3.135306E-01
1.511000E+02 1.102828E+01 +/-  3.267844E-01
1.517000E+02 1.100608E+01 +/-  3.227811E-01
1.523000E+02 1.004701E+01 +/-  2.940625E-01
1.529000E+02 1.047399E+01 +/-  3.081463E-01
1.535000E+02 1.053238E+01 +/-  3.061699E-01
1.541000E+02 9.848089E+00 +/-  2.910240E-01
1.547000E+02 9.874071E+00 +/-  2.858922E-01
1.553000E+02 9.858763E+00 +/-  2.879682E-01
1.559000E+02 8.973297E+00 +/-  2.636119E-01
1.565000E+02 8.901954E+00 +/-  2.532711E-01
1.571000E+02 8.970008E+00 +/-  2.607787E-01
1.577000E+02 9.129470E+00 +/-  2.583738E-01
1.583000E+02 8.991214E+00 +/-  2.589734E-01
1.589000E+02 9.193911E+00 +/-  2.673081E-01
1.595000E+02 8.549724E+00 +/-  2.403600E-01
1.601000E+02 8.192480E+00 +/-  2.338074E-01
1.607000E+02 8.377241E+00 +/-  2.354983E-01
1.613000E+02 8.308543E+00 +/-  2.391634E-01
1.619000E+02 8.065364E+00 +/-  2.305464E-01
1.625000E+02 8.420195E+00 +/-  2.394154E-01
1.631000E+02 7.862450E+00 +/-  2.253346E-01
1.637000E+02 7.634413E+00 +/-  2.182405E-01
1.643000E+02 7.380114E+00 +/-  2.171270E-01
1.649000E+02 7.652293E+00 +/-  2.225525E-01
1.655000E+02 7.303171E+00 +/-  2.133999E-01
1.661000E+02 6.888985E+00 +/-  1.981909E-01
1.667000E+02 7.130871E+00 +/-  2.077141E-01
1.673000E+02 7.169469E+00 +/-  2.057709E-01
1.679000E+02 7.104401E+00 +/-  2.068946E-01
1.685000E+02 6.928278E+00 +/-  2.013268E-01
1.691000E+02 6.790515E+00 +/-  1.945184E-01
1.697000E+02 6.760929E+00 +/-  1.925055E-01
1.703000E+02 6.587501E+00 +/-  1.896265E-01
1.709000E+02 6.422145E+00 +/-  1.852360E-01
1.715000E+02 6.663417E+00 +/-  1.910270E-01
1.721000E+02 6.495230E+00 +/-  1.844821E-01
1.727000E+02 6.334415E+00 +/-  1.806227E-01
1.733000E+02 6.128886E+00 +/-  1.751878E-01
1.739000E+02 6.039663E+00 +/-  1.712802E-01
1.745000E+02 6.059211E+00 +/-  1.725659E-01
1.751000E+02 5.826864E+00 +/-  1.686773E-01
1.757000E+02 6.094697E+00 +/-  1.711663E-01
1.763000E+02 5.936503E+00 +/-  1.669415E-01
1.769000E+02 5.905983E+00 +/-  1.661606E-01
1.775000E+02 5.407368E+00 +/-  1.544661E-01
1.781000E+02 5.673579E+00 +/-  1.558139E-01
1.787000E+02 5.492055E+00 +/-  1.545319E-01
1.793000E+02 5.487076E+00 +/-  1.556644E-01
1.799000E+02 5.349797E+00 +/-  1.495612E-01
1.805000E+02 5.248040E+00 +/-  1.458217E-01
1.811000E+02 5.174195E+00 +/-  1.433670E-01
1.817000E+02 5.290634E+00 +/-  1.482843E-01
1.823000E+02 4.869899E+00 +/-  1.364823E-01
1.829000E+02 4.776617E+00 +/-  1.324731E-01
1.835000E+02 5.283627E+00 +/-  1.461267E-01
1.841000E+02 4.883323E+00 +/-  1.344963E-01
1.847000E+02 4.616073E+00 +/-  1.291457E-01
1.853000E+02 4.763514E+00 +/-  1.314275E-01
1.859000E+02 4.496591E+00 +/-  1.239892E-01
1.865000E+02 4.664570E+00 +/-  1.296929E-01
1.871000E+02 4.443499E+00 +/-  1.232615E-01
1.877000E+02 4.408090E+00 +/-  1.217404E-01
1.883000E+02 4.674650E+00 +/-  1.264417E-01
1.889000E+02 4.408622E+00 +/-  1.218204E-01
1.895000E+02 4.517645E+00 +/-  1.223850E-01
1.901000E+02 3.972739E+00 +/-  1.099631E-01
1.907000E+02 4.219214E+00 +/-  1.142546E-01
1.913000E+02 4.109757E+00 +/-  1.103816E-01
1.919000E+02 4.077342E+00 +/-  1.092909E-01
1.925000E+02 4.019788E+00 +/-  1.120744E-01
1.931000E+02 4.155310E+00 +/-  1.137814E-01
1.937000E+02 4.148877E+00 +/-  1.110275E-01
1.943000E+02 3.784739E+00 +/-  1.020845E-01
1.949000E+02 4.000597E+00 +/-  1.076284E-01
1.955000E+02 3.719792E+00 +/-  1.000042E-01
1.961000E+02 3.801847E+00 +/-  1.028458E-01
1.967000E+02 3.850168E+00 +/-  1.039757E-01
1.973000E+02 3.736654E+00 +/-  1.003126E-01
1.979000E+02 3.762235E+00 +/-  1.016458E-01
1.985000E+02 3.603555E+00 +/-  9.589605E-02
1.991000E+02 3.453508E+00 +/-  9.405871E-02
1.997000E+02 3.479986E+00 +/-  9.152472E-02
