 d,D -> m,M
x-axis: "Mass{p3+p4}&"  from 20.000000 to 320.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.725000E+02 1.940525E-03 +/-  5.142923E-06
1.735000E+02 1.896948E-03 +/-  5.076039E-06
1.745000E+02 1.860467E-03 +/-  4.992729E-06
1.755000E+02 1.819507E-03 +/-  4.904464E-06
1.765000E+02 1.786139E-03 +/-  4.826894E-06
1.775000E+02 1.750092E-03 +/-  4.771852E-06
1.785000E+02 1.714584E-03 +/-  4.699513E-06
1.795000E+02 1.686207E-03 +/-  4.651429E-06
1.805000E+02 1.647140E-03 +/-  4.557582E-06
1.815000E+02 1.615129E-03 +/-  4.484036E-06
1.825000E+02 1.590508E-03 +/-  4.441686E-06
1.835000E+02 1.551028E-03 +/-  4.367431E-06
1.845000E+02 1.524763E-03 +/-  4.328237E-06
1.855000E+02 1.497099E-03 +/-  4.253622E-06
1.865000E+02 1.469945E-03 +/-  4.195940E-06
1.875000E+02 1.434499E-03 +/-  4.113851E-06
1.885000E+02 1.417284E-03 +/-  4.085621E-06
1.895000E+02 1.379674E-03 +/-  4.024974E-06
1.905000E+02 1.359346E-03 +/-  3.967938E-06
1.915000E+02 1.332377E-03 +/-  3.917512E-06
1.925000E+02 1.302620E-03 +/-  3.841920E-06
1.935000E+02 1.284891E-03 +/-  3.796766E-06
1.945000E+02 1.261084E-03 +/-  3.762331E-06
1.955000E+02 1.233404E-03 +/-  3.718188E-06
1.965000E+02 1.212747E-03 +/-  3.667334E-06
1.975000E+02 1.189592E-03 +/-  3.613618E-06
1.985000E+02 1.167566E-03 +/-  3.564634E-06
1.995000E+02 1.142856E-03 +/-  3.491228E-06
2.005000E+02 1.125175E-03 +/-  3.479308E-06
2.015000E+02 1.102908E-03 +/-  3.445152E-06
2.025000E+02 1.085909E-03 +/-  3.417428E-06
2.035000E+02 1.062062E-03 +/-  3.355414E-06
2.045000E+02 1.043324E-03 +/-  3.308168E-06
2.055000E+02 1.026876E-03 +/-  3.279605E-06
2.065000E+02 1.003610E-03 +/-  3.214665E-06
2.075000E+02 9.939281E-04 +/-  3.201806E-06
2.085000E+02 9.716682E-04 +/-  3.176533E-06
2.095000E+02 9.505220E-04 +/-  3.146804E-06
2.105000E+02 9.348546E-04 +/-  3.110624E-06
2.115000E+02 9.258128E-04 +/-  3.060357E-06
2.125000E+02 9.033117E-04 +/-  3.023322E-06
2.135000E+02 8.894064E-04 +/-  2.992734E-06
2.145000E+02 8.718384E-04 +/-  2.958429E-06
2.155000E+02 8.555575E-04 +/-  2.893500E-06
2.165000E+02 8.425439E-04 +/-  2.891546E-06
2.175000E+02 8.254916E-04 +/-  2.887304E-06
2.185000E+02 8.164067E-04 +/-  2.841462E-06
2.195000E+02 8.000273E-04 +/-  2.794286E-06
2.205000E+02 7.867779E-04 +/-  2.741231E-06
2.215000E+02 7.691083E-04 +/-  2.734208E-06
2.225000E+02 7.596840E-04 +/-  2.712381E-06
2.235000E+02 7.463463E-04 +/-  2.658770E-06
2.245000E+02 7.313343E-04 +/-  2.596904E-06
2.255000E+02 7.202992E-04 +/-  2.589115E-06
2.265000E+02 7.075474E-04 +/-  2.609077E-06
2.275000E+02 6.982269E-04 +/-  2.580695E-06
2.285000E+02 6.793415E-04 +/-  2.521302E-06
2.295000E+02 6.742403E-04 +/-  2.481486E-06
2.305000E+02 6.646131E-04 +/-  2.469585E-06
2.315000E+02 6.505789E-04 +/-  2.443363E-06
2.325000E+02 6.379277E-04 +/-  2.414847E-06
2.335000E+02 6.303446E-04 +/-  2.383688E-06
2.345000E+02 6.182527E-04 +/-  2.337090E-06
2.355000E+02 6.099965E-04 +/-  2.356961E-06
2.365000E+02 6.004897E-04 +/-  2.312142E-06
2.375000E+02 5.876884E-04 +/-  2.291724E-06
2.385000E+02 5.786936E-04 +/-  2.297518E-06
2.395000E+02 5.717386E-04 +/-  2.261238E-06
2.405000E+02 5.588057E-04 +/-  2.215040E-06
2.415000E+02 5.547155E-04 +/-  2.192707E-06
2.425000E+02 5.426759E-04 +/-  2.147874E-06
2.435000E+02 5.345374E-04 +/-  2.167653E-06
2.445000E+02 5.232768E-04 +/-  2.124900E-06
2.455000E+02 5.174333E-04 +/-  2.116465E-06
2.465000E+02 5.111463E-04 +/-  2.110227E-06
2.475000E+02 5.022735E-04 +/-  2.072437E-06
2.485000E+02 4.904656E-04 +/-  2.009587E-06
2.495000E+02 4.845688E-04 +/-  1.994524E-06
2.505000E+02 4.777958E-04 +/-  1.957459E-06
2.515000E+02 4.721035E-04 +/-  1.998355E-06
2.525000E+02 4.644991E-04 +/-  1.993713E-06
2.535000E+02 4.556509E-04 +/-  1.948777E-06
2.545000E+02 4.480251E-04 +/-  1.910745E-06
2.555000E+02 4.415106E-04 +/-  1.885707E-06
2.565000E+02 4.336218E-04 +/-  1.881159E-06
2.575000E+02 4.296596E-04 +/-  1.920131E-06
2.585000E+02 4.209646E-04 +/-  1.892926E-06
2.595000E+02 4.185553E-04 +/-  1.885859E-06
2.605000E+02 4.099255E-04 +/-  1.833131E-06
2.615000E+02 4.016752E-04 +/-  1.797502E-06
2.625000E+02 3.969456E-04 +/-  1.784743E-06
2.635000E+02 3.920777E-04 +/-  1.759259E-06
2.645000E+02 3.847119E-04 +/-  1.719078E-06
2.655000E+02 3.785101E-04 +/-  1.691946E-06
2.665000E+02 3.731139E-04 +/-  1.666718E-06
2.675000E+02 3.701269E-04 +/-  1.651964E-06
2.685000E+02 3.613369E-04 +/-  1.637274E-06
2.695000E+02 3.573123E-04 +/-  1.669959E-06
2.705000E+02 3.507773E-04 +/-  1.674107E-06
2.715000E+02 3.482186E-04 +/-  1.660190E-06
2.725000E+02 3.401996E-04 +/-  1.616676E-06
2.735000E+02 3.371661E-04 +/-  1.625475E-06
2.745000E+02 3.300995E-04 +/-  1.630017E-06
2.755000E+02 3.283011E-04 +/-  1.621718E-06
2.765000E+02 3.238021E-04 +/-  1.604914E-06
2.775000E+02 3.172008E-04 +/-  1.566413E-06
2.785000E+02 3.123149E-04 +/-  1.530542E-06
2.795000E+02 3.094341E-04 +/-  1.514558E-06
2.805000E+02 3.044975E-04 +/-  1.493077E-06
2.815000E+02 3.005762E-04 +/-  1.470223E-06
2.825000E+02 2.956580E-04 +/-  1.453905E-06
2.835000E+02 2.918068E-04 +/-  1.435586E-06
2.845000E+02 2.864079E-04 +/-  1.402941E-06
2.855000E+02 2.819725E-04 +/-  1.407531E-06
