 d,D -> m,M
x-axis: "Mass{p3+p4}$"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
5.585000E+02 2.929641E-05 +/-  1.159304E-07
5.595000E+02 2.928203E-05 +/-  1.154487E-07
5.605000E+02 2.883914E-05 +/-  1.140526E-07
5.615000E+02 2.852577E-05 +/-  1.128328E-07
5.625000E+02 2.838982E-05 +/-  1.119019E-07
5.635000E+02 2.806901E-05 +/-  1.108885E-07
5.645000E+02 2.794949E-05 +/-  1.099451E-07
5.655000E+02 2.764329E-05 +/-  1.088901E-07
5.665000E+02 2.760964E-05 +/-  1.089681E-07
5.675000E+02 2.756981E-05 +/-  1.094016E-07
5.685000E+02 2.712865E-05 +/-  1.080504E-07
5.695000E+02 2.671231E-05 +/-  1.066343E-07
5.705000E+02 2.667285E-05 +/-  1.077775E-07
5.715000E+02 2.655137E-05 +/-  1.083982E-07
5.725000E+02 2.617783E-05 +/-  1.070844E-07
5.735000E+02 2.603138E-05 +/-  1.062244E-07
5.745000E+02 2.596307E-05 +/-  1.077822E-07
5.755000E+02 2.564598E-05 +/-  1.068442E-07
5.765000E+02 2.546464E-05 +/-  1.057240E-07
5.775000E+02 2.536262E-05 +/-  1.053901E-07
5.785000E+02 2.502283E-05 +/-  1.042007E-07
5.795000E+02 2.497602E-05 +/-  1.036403E-07
5.805000E+02 2.462520E-05 +/-  1.023993E-07
5.815000E+02 2.445600E-05 +/-  1.016365E-07
5.825000E+02 2.431376E-05 +/-  1.007832E-07
5.835000E+02 2.410511E-05 +/-  1.008970E-07
5.845000E+02 2.384493E-05 +/-  1.000862E-07
5.855000E+02 2.380416E-05 +/-  9.949386E-08
5.865000E+02 2.359784E-05 +/-  9.860372E-08
5.875000E+02 2.342708E-05 +/-  9.789066E-08
5.885000E+02 2.322970E-05 +/-  9.723322E-08
5.895000E+02 2.309369E-05 +/-  9.656064E-08
5.905000E+02 2.281929E-05 +/-  9.531982E-08
5.915000E+02 2.253520E-05 +/-  9.415086E-08
5.925000E+02 2.250674E-05 +/-  9.386616E-08
5.935000E+02 2.238749E-05 +/-  9.463060E-08
5.945000E+02 2.223269E-05 +/-  9.514799E-08
5.955000E+02 2.207943E-05 +/-  9.488807E-08
5.965000E+02 2.182257E-05 +/-  9.527216E-08
5.975000E+02 2.164045E-05 +/-  9.441361E-08
5.985000E+02 2.155915E-05 +/-  9.383703E-08
5.995000E+02 2.135970E-05 +/-  9.321079E-08
6.005000E+02 2.123776E-05 +/-  9.256068E-08
6.015000E+02 2.094150E-05 +/-  9.237431E-08
6.025000E+02 2.080626E-05 +/-  9.149230E-08
6.035000E+02 2.082477E-05 +/-  9.119436E-08
6.045000E+02 2.045274E-05 +/-  9.000846E-08
6.055000E+02 2.036196E-05 +/-  8.930355E-08
6.065000E+02 2.024531E-05 +/-  8.876013E-08
6.075000E+02 2.015117E-05 +/-  8.823272E-08
6.085000E+02 1.996249E-05 +/-  8.733079E-08
6.095000E+02 1.984947E-05 +/-  8.686019E-08
6.105000E+02 1.969733E-05 +/-  8.624033E-08
6.115000E+02 1.960622E-05 +/-  8.579089E-08
6.125000E+02 1.935418E-05 +/-  8.462681E-08
6.135000E+02 1.933444E-05 +/-  8.427454E-08
6.145000E+02 1.894288E-05 +/-  8.296320E-08
6.155000E+02 1.896444E-05 +/-  8.261171E-08
6.165000E+02 1.897283E-05 +/-  8.239421E-08
6.175000E+02 1.879285E-05 +/-  8.172299E-08
6.185000E+02 1.867215E-05 +/-  8.104505E-08
6.195000E+02 1.829256E-05 +/-  7.979298E-08
