 u,U -> u,U
x-axis: "Mass{p3+p4}a"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.024000E+02 6.644445E-01 +/-  2.489499E-02
3.040000E+02 6.252224E-01 +/-  2.301464E-02
3.056000E+02 5.660601E-01 +/-  2.068960E-02
3.072000E+02 5.855267E-01 +/-  2.145933E-02
3.088000E+02 5.505511E-01 +/-  2.040854E-02
3.104000E+02 5.585607E-01 +/-  2.037483E-02
3.120000E+02 5.366564E-01 +/-  1.949118E-02
3.136000E+02 5.412249E-01 +/-  1.969843E-02
3.152000E+02 5.020747E-01 +/-  1.846152E-02
3.168000E+02 5.253871E-01 +/-  1.914404E-02
3.184000E+02 5.019188E-01 +/-  1.830625E-02
3.200000E+02 5.095865E-01 +/-  1.797244E-02
3.216000E+02 4.859491E-01 +/-  1.780529E-02
3.232000E+02 4.875874E-01 +/-  1.788855E-02
3.248000E+02 4.596173E-01 +/-  1.650078E-02
3.264000E+02 4.476661E-01 +/-  1.610439E-02
3.280000E+02 4.480488E-01 +/-  1.602606E-02
3.296000E+02 4.277031E-01 +/-  1.500285E-02
3.312000E+02 4.281253E-01 +/-  1.535830E-02
3.328000E+02 4.262267E-01 +/-  1.526066E-02
3.344000E+02 4.098501E-01 +/-  1.508042E-02
3.360000E+02 4.114509E-01 +/-  1.454651E-02
3.376000E+02 4.144682E-01 +/-  1.461662E-02
3.392000E+02 3.948817E-01 +/-  1.378990E-02
3.408000E+02 3.623692E-01 +/-  1.244590E-02
3.424000E+02 3.581797E-01 +/-  1.264936E-02
3.440000E+02 3.636053E-01 +/-  1.253031E-02
3.456000E+02 3.815414E-01 +/-  1.311118E-02
3.472000E+02 3.551420E-01 +/-  1.241406E-02
3.488000E+02 3.396925E-01 +/-  1.199811E-02
3.504000E+02 3.418174E-01 +/-  1.183485E-02
3.520000E+02 3.288601E-01 +/-  1.137305E-02
3.536000E+02 3.409673E-01 +/-  1.196438E-02
3.552000E+02 3.087870E-01 +/-  1.096375E-02
3.568000E+02 3.126396E-01 +/-  1.082414E-02
3.584000E+02 2.895779E-01 +/-  1.005764E-02
3.600000E+02 3.125932E-01 +/-  1.067630E-02
3.616000E+02 2.952080E-01 +/-  1.036088E-02
3.632000E+02 2.882011E-01 +/-  9.886144E-03
3.648000E+02 2.915012E-01 +/-  9.865131E-03
3.664000E+02 2.991742E-01 +/-  1.013090E-02
3.680000E+02 2.720992E-01 +/-  9.628475E-03
3.696000E+02 2.657401E-01 +/-  9.466040E-03
3.712000E+02 2.650719E-01 +/-  9.584349E-03
3.728000E+02 2.515385E-01 +/-  9.033977E-03
3.744000E+02 2.637841E-01 +/-  9.270945E-03
3.760000E+02 2.618831E-01 +/-  9.214087E-03
3.776000E+02 2.433732E-01 +/-  8.583800E-03
3.792000E+02 2.420306E-01 +/-  8.509997E-03
3.808000E+02 2.330751E-01 +/-  8.173121E-03
3.824000E+02 2.314530E-01 +/-  8.175286E-03
3.840000E+02 2.183435E-01 +/-  7.554321E-03
3.856000E+02 2.304607E-01 +/-  7.990156E-03
3.872000E+02 2.121063E-01 +/-  7.401654E-03
3.888000E+02 2.140143E-01 +/-  7.284650E-03
3.904000E+02 2.194817E-01 +/-  7.614364E-03
3.920000E+02 1.952975E-01 +/-  6.749352E-03
3.936000E+02 2.229966E-01 +/-  7.571072E-03
3.952000E+02 2.147911E-01 +/-  7.335563E-03
3.968000E+02 1.972017E-01 +/-  6.612872E-03
3.984000E+02 1.943672E-01 +/-  6.674265E-03
4.000000E+02 2.033894E-01 +/-  6.868661E-03
4.016000E+02 1.820310E-01 +/-  6.217992E-03
4.032000E+02 1.826692E-01 +/-  6.199832E-03
4.048000E+02 1.785311E-01 +/-  6.204685E-03
4.064000E+02 1.857365E-01 +/-  6.418168E-03
4.080000E+02 1.699351E-01 +/-  5.812214E-03
