 c,C -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.388500E+03 1.837865E-08 +/-  5.383686E-11
1.389500E+03 1.822177E-08 +/-  5.351961E-11
1.390500E+03 1.810169E-08 +/-  5.313662E-11
1.391500E+03 1.808422E-08 +/-  5.312172E-11
1.392500E+03 1.802201E-08 +/-  5.310669E-11
1.393500E+03 1.789324E-08 +/-  5.286958E-11
1.394500E+03 1.778457E-08 +/-  5.275988E-11
1.395500E+03 1.768607E-08 +/-  5.245092E-11
1.396500E+03 1.768225E-08 +/-  5.231066E-11
1.397500E+03 1.751596E-08 +/-  5.195377E-11
1.398500E+03 1.744016E-08 +/-  5.166631E-11
1.399500E+03 1.741367E-08 +/-  5.171911E-11
1.400500E+03 1.725951E-08 +/-  5.160467E-11
1.401500E+03 1.720973E-08 +/-  5.145514E-11
1.402500E+03 1.710307E-08 +/-  5.121079E-11
1.403500E+03 1.707744E-08 +/-  5.106522E-11
1.404500E+03 1.693365E-08 +/-  5.071389E-11
1.405500E+03 1.691148E-08 +/-  5.052040E-11
1.406500E+03 1.677539E-08 +/-  5.038880E-11
1.407500E+03 1.671020E-08 +/-  5.027912E-11
1.408500E+03 1.666278E-08 +/-  5.021503E-11
1.409500E+03 1.652409E-08 +/-  5.000714E-11
1.410500E+03 1.650948E-08 +/-  4.991965E-11
1.411500E+03 1.630448E-08 +/-  4.941059E-11
1.412500E+03 1.637811E-08 +/-  4.949098E-11
1.413500E+03 1.618326E-08 +/-  4.906096E-11
1.414500E+03 1.618861E-08 +/-  4.918532E-11
1.415500E+03 1.607950E-08 +/-  4.888026E-11
1.416500E+03 1.599641E-08 +/-  4.881545E-11
1.417500E+03 1.598116E-08 +/-  4.876756E-11
1.418500E+03 1.576785E-08 +/-  4.838505E-11
1.419500E+03 1.575005E-08 +/-  4.823975E-11
1.420500E+03 1.571364E-08 +/-  4.808875E-11
1.421500E+03 1.564198E-08 +/-  4.788937E-11
1.422500E+03 1.559406E-08 +/-  4.785551E-11
1.423500E+03 1.543963E-08 +/-  4.749891E-11
1.424500E+03 1.539176E-08 +/-  4.743789E-11
1.425500E+03 1.533310E-08 +/-  4.731671E-11
1.426500E+03 1.529768E-08 +/-  4.728492E-11
1.427500E+03 1.518895E-08 +/-  4.698116E-11
1.428500E+03 1.513172E-08 +/-  4.683711E-11
1.429500E+03 1.495994E-08 +/-  4.648466E-11
1.430500E+03 1.498808E-08 +/-  4.649938E-11
1.431500E+03 1.489811E-08 +/-  4.629692E-11
1.432500E+03 1.482264E-08 +/-  4.603090E-11
1.433500E+03 1.479222E-08 +/-  4.610143E-11
1.434500E+03 1.460615E-08 +/-  4.574972E-11
1.435500E+03 1.461437E-08 +/-  4.578855E-11
1.436500E+03 1.456030E-08 +/-  4.563499E-11
1.437500E+03 1.446892E-08 +/-  4.535973E-11
1.438500E+03 1.440157E-08 +/-  4.518581E-11
1.439500E+03 1.435804E-08 +/-  4.514669E-11
1.440500E+03 1.425397E-08 +/-  4.487775E-11
1.441500E+03 1.418601E-08 +/-  4.457618E-11
1.442500E+03 1.413898E-08 +/-  4.459522E-11
1.443500E+03 1.402420E-08 +/-  4.444580E-11
1.444500E+03 1.404070E-08 +/-  4.457983E-11
1.445500E+03 1.393011E-08 +/-  4.424813E-11
1.446500E+03 1.382109E-08 +/-  4.395498E-11
1.447500E+03 1.383382E-08 +/-  4.389128E-11
1.448500E+03 1.380455E-08 +/-  4.388553E-11
1.449500E+03 1.363255E-08 +/-  4.344536E-11
1.450500E+03 1.358287E-08 +/-  4.324793E-11
1.451500E+03 1.354410E-08 +/-  4.320506E-11
1.452500E+03 1.347596E-08 +/-  4.319186E-11
1.453500E+03 1.339328E-08 +/-  4.306832E-11
1.454500E+03 1.340063E-08 +/-  4.307125E-11
1.455500E+03 1.327200E-08 +/-  4.269074E-11
1.456500E+03 1.325437E-08 +/-  4.259126E-11
1.457500E+03 1.314481E-08 +/-  4.242112E-11
1.458500E+03 1.310175E-08 +/-  4.226158E-11
1.459500E+03 1.302344E-08 +/-  4.209966E-11
1.460500E+03 1.297571E-08 +/-  4.192213E-11
1.461500E+03 1.289441E-08 +/-  4.173828E-11
1.462500E+03 1.292128E-08 +/-  4.181935E-11
1.463500E+03 1.270108E-08 +/-  4.158765E-11
1.464500E+03 1.276417E-08 +/-  4.159827E-11
1.465500E+03 1.267710E-08 +/-  4.131654E-11
1.466500E+03 1.261345E-08 +/-  4.117993E-11
1.467500E+03 1.259151E-08 +/-  4.115373E-11
1.468500E+03 1.251133E-08 +/-  4.094501E-11
