 u,U -> d,D
x-axis: "Mass{p3+p4}$"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.719500E+03 1.832746E-07 +/-  5.326249E-10
1.720500E+03 1.837088E-07 +/-  5.325942E-10
1.721500E+03 1.824888E-07 +/-  5.301849E-10
1.722500E+03 1.824067E-07 +/-  5.298437E-10
1.723500E+03 1.811434E-07 +/-  5.270634E-10
1.724500E+03 1.806137E-07 +/-  5.265637E-10
1.725500E+03 1.808529E-07 +/-  5.260291E-10
1.726500E+03 1.795613E-07 +/-  5.242076E-10
1.727500E+03 1.796756E-07 +/-  5.244719E-10
1.728500E+03 1.780250E-07 +/-  5.213720E-10
1.729500E+03 1.784455E-07 +/-  5.214082E-10
1.730500E+03 1.768962E-07 +/-  5.185294E-10
1.731500E+03 1.784366E-07 +/-  5.211862E-10
1.732500E+03 1.760914E-07 +/-  5.161710E-10
1.733500E+03 1.754682E-07 +/-  5.150858E-10
1.734500E+03 1.756470E-07 +/-  5.163639E-10
1.735500E+03 1.746190E-07 +/-  5.141662E-10
1.736500E+03 1.742645E-07 +/-  5.123654E-10
1.737500E+03 1.741552E-07 +/-  5.130597E-10
1.738500E+03 1.734576E-07 +/-  5.116004E-10
1.739500E+03 1.723903E-07 +/-  5.088301E-10
1.740500E+03 1.728639E-07 +/-  5.083407E-10
1.741500E+03 1.715375E-07 +/-  5.067096E-10
1.742500E+03 1.708504E-07 +/-  5.063972E-10
1.743500E+03 1.710583E-07 +/-  5.054988E-10
1.744500E+03 1.693898E-07 +/-  5.033433E-10
1.745500E+03 1.695913E-07 +/-  5.032471E-10
1.746500E+03 1.690246E-07 +/-  5.018434E-10
1.747500E+03 1.685756E-07 +/-  5.001450E-10
1.748500E+03 1.689823E-07 +/-  4.999536E-10
1.749500E+03 1.665437E-07 +/-  4.963919E-10
1.750500E+03 1.673365E-07 +/-  4.986840E-10
1.751500E+03 1.663510E-07 +/-  4.956847E-10
1.752500E+03 1.661093E-07 +/-  4.964032E-10
1.753500E+03 1.649766E-07 +/-  4.942192E-10
1.754500E+03 1.652662E-07 +/-  4.935475E-10
1.755500E+03 1.648266E-07 +/-  4.920752E-10
1.756500E+03 1.641358E-07 +/-  4.898404E-10
1.757500E+03 1.632249E-07 +/-  4.887994E-10
1.758500E+03 1.631995E-07 +/-  4.897539E-10
1.759500E+03 1.621278E-07 +/-  4.877276E-10
1.760500E+03 1.623035E-07 +/-  4.881703E-10
1.761500E+03 1.616571E-07 +/-  4.865746E-10
1.762500E+03 1.607545E-07 +/-  4.844265E-10
1.763500E+03 1.605906E-07 +/-  4.831950E-10
1.764500E+03 1.606910E-07 +/-  4.823683E-10
1.765500E+03 1.590651E-07 +/-  4.795215E-10
1.766500E+03 1.586454E-07 +/-  4.804102E-10
1.767500E+03 1.585540E-07 +/-  4.796810E-10
1.768500E+03 1.585293E-07 +/-  4.800772E-10
1.769500E+03 1.577329E-07 +/-  4.780595E-10
1.770500E+03 1.572307E-07 +/-  4.763794E-10
1.771500E+03 1.558536E-07 +/-  4.732146E-10
1.772500E+03 1.570786E-07 +/-  4.746098E-10
1.773500E+03 1.557644E-07 +/-  4.716185E-10
1.774500E+03 1.548704E-07 +/-  4.719898E-10
1.775500E+03 1.548752E-07 +/-  4.721391E-10
1.776500E+03 1.542506E-07 +/-  4.706590E-10
1.777500E+03 1.538262E-07 +/-  4.694800E-10
1.778500E+03 1.534730E-07 +/-  4.687034E-10
1.779500E+03 1.528206E-07 +/-  4.665693E-10
1.780500E+03 1.524985E-07 +/-  4.652672E-10
1.781500E+03 1.514929E-07 +/-  4.631062E-10
1.782500E+03 1.522101E-07 +/-  4.643229E-10
1.783500E+03 1.517028E-07 +/-  4.647929E-10
1.784500E+03 1.498801E-07 +/-  4.615779E-10
1.785500E+03 1.501022E-07 +/-  4.623021E-10
1.786500E+03 1.501523E-07 +/-  4.612221E-10
1.787500E+03 1.495389E-07 +/-  4.596562E-10
1.788500E+03 1.488445E-07 +/-  4.574982E-10
1.789500E+03 1.478475E-07 +/-  4.561268E-10
1.790500E+03 1.484432E-07 +/-  4.558925E-10
1.791500E+03 1.467080E-07 +/-  4.530909E-10
1.792500E+03 1.478144E-07 +/-  4.561557E-10
1.793500E+03 1.462574E-07 +/-  4.533661E-10
1.794500E+03 1.461406E-07 +/-  4.532360E-10
1.795500E+03 1.462301E-07 +/-  4.522106E-10
1.796500E+03 1.451248E-07 +/-  4.502540E-10
1.797500E+03 1.445263E-07 +/-  4.486649E-10
1.798500E+03 1.445952E-07 +/-  4.480026E-10
1.799500E+03 1.443688E-07 +/-  4.471240E-10
1.800500E+03 1.429104E-07 +/-  4.441987E-10
1.801500E+03 1.436982E-07 +/-  4.469386E-10
1.802500E+03 1.421842E-07 +/-  4.452192E-10
1.803500E+03 1.420595E-07 +/-  4.443284E-10
1.804500E+03 1.415133E-07 +/-  4.431913E-10
1.805500E+03 1.422573E-07 +/-  4.436657E-10
1.806500E+03 1.402923E-07 +/-  4.400055E-10
1.807500E+03 1.411913E-07 +/-  4.405080E-10
1.808500E+03 1.402064E-07 +/-  4.380891E-10
1.809500E+03 1.398185E-07 +/-  4.366986E-10
1.810500E+03 1.393388E-07 +/-  4.366876E-10
1.811500E+03 1.388965E-07 +/-  4.370894E-10
1.812500E+03 1.381168E-07 +/-  4.350052E-10
1.813500E+03 1.384784E-07 +/-  4.350141E-10
1.814500E+03 1.376484E-07 +/-  4.331440E-10
1.815500E+03 1.376730E-07 +/-  4.323826E-10
1.816500E+03 1.366188E-07 +/-  4.294810E-10
1.817500E+03 1.363382E-07 +/-  4.286668E-10
1.818500E+03 1.356852E-07 +/-  4.266142E-10
1.819500E+03 1.357887E-07 +/-  4.264483E-10
