 u,U -> e,E
x-axis: "Mass{p3+p4}]"  from 20.000000 to 400.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.055667E+02 4.184723E-01 +/-  1.560737E-02
2.068333E+02 4.005098E-01 +/-  1.455632E-02
2.081000E+02 3.838726E-01 +/-  1.446668E-02
2.093667E+02 3.531075E-01 +/-  1.303608E-02
2.106333E+02 3.676084E-01 +/-  1.363229E-02
2.119000E+02 3.534407E-01 +/-  1.306199E-02
2.131667E+02 3.222653E-01 +/-  1.186000E-02
2.144333E+02 3.297007E-01 +/-  1.183766E-02
2.157000E+02 3.239191E-01 +/-  1.196625E-02
2.169667E+02 3.294846E-01 +/-  1.209617E-02
2.182333E+02 3.078449E-01 +/-  1.109279E-02
2.195000E+02 2.907779E-01 +/-  1.054321E-02
2.207667E+02 2.978643E-01 +/-  1.071583E-02
2.220333E+02 2.691251E-01 +/-  9.750441E-03
2.233000E+02 2.570320E-01 +/-  9.548338E-03
2.245667E+02 2.521023E-01 +/-  9.084190E-03
2.258333E+02 2.519092E-01 +/-  9.082517E-03
2.271000E+02 2.344462E-01 +/-  8.492843E-03
2.283667E+02 2.591563E-01 +/-  9.202024E-03
2.296333E+02 2.409030E-01 +/-  8.406327E-03
2.309000E+02 2.349877E-01 +/-  8.225479E-03
2.321667E+02 2.151861E-01 +/-  7.580884E-03
2.334333E+02 2.325952E-01 +/-  8.125686E-03
2.347000E+02 2.138932E-01 +/-  7.489654E-03
2.359667E+02 2.091355E-01 +/-  7.274418E-03
2.372333E+02 2.137062E-01 +/-  7.563654E-03
2.385000E+02 1.918010E-01 +/-  6.755248E-03
2.397667E+02 1.866766E-01 +/-  6.488426E-03
2.410333E+02 1.868419E-01 +/-  6.381455E-03
2.423000E+02 1.793825E-01 +/-  6.132077E-03
2.435667E+02 2.040627E-01 +/-  6.915648E-03
2.448333E+02 1.858982E-01 +/-  6.365280E-03
2.461000E+02 1.808655E-01 +/-  6.230964E-03
2.473667E+02 1.648812E-01 +/-  5.701781E-03
2.486333E+02 1.594186E-01 +/-  5.452240E-03
2.499000E+02 1.474910E-01 +/-  5.098084E-03
2.511667E+02 1.539640E-01 +/-  5.250729E-03
