 s,S -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.385500E+03 1.711270E-08 +/-  4.938033E-11
1.386500E+03 1.706455E-08 +/-  4.927938E-11
1.387500E+03 1.692942E-08 +/-  4.888319E-11
1.388500E+03 1.698698E-08 +/-  4.896393E-11
1.389500E+03 1.678147E-08 +/-  4.864681E-11
1.390500E+03 1.672112E-08 +/-  4.855958E-11
1.391500E+03 1.668176E-08 +/-  4.852015E-11
1.392500E+03 1.663826E-08 +/-  4.843460E-11
1.393500E+03 1.650819E-08 +/-  4.807141E-11
1.394500E+03 1.647087E-08 +/-  4.793429E-11
1.395500E+03 1.631275E-08 +/-  4.762614E-11
1.396500E+03 1.633937E-08 +/-  4.770511E-11
1.397500E+03 1.620266E-08 +/-  4.750146E-11
1.398500E+03 1.618057E-08 +/-  4.741884E-11
1.399500E+03 1.611320E-08 +/-  4.735517E-11
1.400500E+03 1.602521E-08 +/-  4.706118E-11
1.401500E+03 1.593535E-08 +/-  4.682490E-11
1.402500E+03 1.590228E-08 +/-  4.673118E-11
1.403500E+03 1.581908E-08 +/-  4.667777E-11
1.404500E+03 1.571554E-08 +/-  4.643812E-11
1.405500E+03 1.569149E-08 +/-  4.635723E-11
1.406500E+03 1.557481E-08 +/-  4.621744E-11
1.407500E+03 1.553952E-08 +/-  4.607309E-11
1.408500E+03 1.552737E-08 +/-  4.594722E-11
1.409500E+03 1.538403E-08 +/-  4.571557E-11
1.410500E+03 1.528676E-08 +/-  4.552759E-11
1.411500E+03 1.528105E-08 +/-  4.547121E-11
1.412500E+03 1.518748E-08 +/-  4.524825E-11
1.413500E+03 1.510152E-08 +/-  4.515574E-11
1.414500E+03 1.511559E-08 +/-  4.518000E-11
1.415500E+03 1.498003E-08 +/-  4.487566E-11
1.416500E+03 1.495846E-08 +/-  4.479687E-11
1.417500E+03 1.489133E-08 +/-  4.457668E-11
1.418500E+03 1.477926E-08 +/-  4.446277E-11
1.419500E+03 1.471082E-08 +/-  4.423832E-11
1.420500E+03 1.466283E-08 +/-  4.413148E-11
1.421500E+03 1.464448E-08 +/-  4.409434E-11
1.422500E+03 1.452543E-08 +/-  4.394101E-11
1.423500E+03 1.448711E-08 +/-  4.384879E-11
1.424500E+03 1.442367E-08 +/-  4.366408E-11
1.425500E+03 1.435678E-08 +/-  4.344298E-11
1.426500E+03 1.431008E-08 +/-  4.340146E-11
1.427500E+03 1.421298E-08 +/-  4.315641E-11
1.428500E+03 1.416281E-08 +/-  4.302931E-11
1.429500E+03 1.414533E-08 +/-  4.298751E-11
1.430500E+03 1.403197E-08 +/-  4.288041E-11
1.431500E+03 1.397829E-08 +/-  4.281942E-11
1.432500E+03 1.388344E-08 +/-  4.252381E-11
1.433500E+03 1.388432E-08 +/-  4.242829E-11
1.434500E+03 1.378084E-08 +/-  4.231890E-11
1.435500E+03 1.379985E-08 +/-  4.223753E-11
1.436500E+03 1.362307E-08 +/-  4.184814E-11
1.437500E+03 1.361140E-08 +/-  4.185353E-11
1.438500E+03 1.361929E-08 +/-  4.196345E-11
1.439500E+03 1.348505E-08 +/-  4.173018E-11
1.440500E+03 1.346755E-08 +/-  4.162091E-11
1.441500E+03 1.339461E-08 +/-  4.141627E-11
1.442500E+03 1.333060E-08 +/-  4.125316E-11
1.443500E+03 1.327214E-08 +/-  4.114257E-11
1.444500E+03 1.324611E-08 +/-  4.099536E-11
1.445500E+03 1.314044E-08 +/-  4.072853E-11
1.446500E+03 1.306120E-08 +/-  4.072102E-11
1.447500E+03 1.307219E-08 +/-  4.078414E-11
1.448500E+03 1.302769E-08 +/-  4.065624E-11
1.449500E+03 1.291889E-08 +/-  4.042286E-11
1.450500E+03 1.290563E-08 +/-  4.029500E-11
1.451500E+03 1.280221E-08 +/-  4.012604E-11
1.452500E+03 1.282563E-08 +/-  4.012411E-11
1.453500E+03 1.268259E-08 +/-  3.979729E-11
1.454500E+03 1.267665E-08 +/-  3.974333E-11
1.455500E+03 1.261361E-08 +/-  3.963979E-11
1.456500E+03 1.253748E-08 +/-  3.960121E-11
1.457500E+03 1.252071E-08 +/-  3.955231E-11
1.458500E+03 1.246404E-08 +/-  3.936416E-11
1.459500E+03 1.236874E-08 +/-  3.914645E-11
1.460500E+03 1.231566E-08 +/-  3.906621E-11
1.461500E+03 1.236334E-08 +/-  3.910587E-11
1.462500E+03 1.220946E-08 +/-  3.879030E-11
1.463500E+03 1.213100E-08 +/-  3.857887E-11
1.464500E+03 1.217298E-08 +/-  3.854280E-11
1.465500E+03 1.208432E-08 +/-  3.847736E-11
1.466500E+03 1.199794E-08 +/-  3.841723E-11
1.467500E+03 1.198511E-08 +/-  3.832884E-11
1.468500E+03 1.189518E-08 +/-  3.808967E-11
1.469500E+03 1.186172E-08 +/-  3.809736E-11
1.470500E+03 1.184922E-08 +/-  3.805929E-11
1.471500E+03 1.177950E-08 +/-  3.786214E-11
1.472500E+03 1.174708E-08 +/-  3.769955E-11
1.473500E+03 1.164918E-08 +/-  3.748253E-11
1.474500E+03 1.162022E-08 +/-  3.729790E-11
1.475500E+03 1.158978E-08 +/-  3.734017E-11
1.476500E+03 1.150438E-08 +/-  3.733044E-11
1.477500E+03 1.151340E-08 +/-  3.726939E-11
1.478500E+03 1.144055E-08 +/-  3.712968E-11
1.479500E+03 1.132250E-08 +/-  3.694764E-11
1.480500E+03 1.134884E-08 +/-  3.691202E-11
1.481500E+03 1.129245E-08 +/-  3.673619E-11
1.482500E+03 1.117512E-08 +/-  3.646053E-11
1.483500E+03 1.120345E-08 +/-  3.639902E-11
1.484500E+03 1.116963E-08 +/-  3.627724E-11
1.485500E+03 1.108141E-08 +/-  3.610614E-11
1.486500E+03 1.106191E-08 +/-  3.629618E-11
1.487500E+03 1.100982E-08 +/-  3.616768E-11
1.488500E+03 1.091711E-08 +/-  3.599565E-11
1.489500E+03 1.090360E-08 +/-  3.597482E-11
1.490500E+03 1.084769E-08 +/-  3.578541E-11
1.491500E+03 1.081457E-08 +/-  3.563472E-11
1.492500E+03 1.077388E-08 +/-  3.549332E-11
1.493500E+03 1.073391E-08 +/-  3.534150E-11
1.494500E+03 1.072779E-08 +/-  3.531466E-11
1.495500E+03 1.060657E-08 +/-  3.501429E-11
1.496500E+03 1.061094E-08 +/-  3.503301E-11
1.497500E+03 1.058007E-08 +/-  3.519613E-11
1.498500E+03 1.045974E-08 +/-  3.495715E-11
1.499500E+03 1.043112E-08 +/-  3.493546E-11
1.500500E+03 1.042208E-08 +/-  3.482965E-11
1.501500E+03 1.039712E-08 +/-  3.471969E-11
1.502500E+03 1.029390E-08 +/-  3.447274E-11
1.503500E+03 1.026997E-08 +/-  3.439001E-11
1.504500E+03 1.023796E-08 +/-  3.426076E-11
1.505500E+03 1.017724E-08 +/-  3.407577E-11
1.506500E+03 1.017593E-08 +/-  3.398445E-11
1.507500E+03 1.010035E-08 +/-  3.378764E-11
1.508500E+03 1.004841E-08 +/-  3.384489E-11
1.509500E+03 1.006916E-08 +/-  3.396041E-11
1.510500E+03 1.004453E-08 +/-  3.388248E-11
1.511500E+03 9.876168E-09 +/-  3.350204E-11
1.512500E+03 9.904902E-09 +/-  3.349888E-11
1.513500E+03 9.832799E-09 +/-  3.328956E-11
1.514500E+03 9.877895E-09 +/-  3.330698E-11
1.515500E+03 9.748804E-09 +/-  3.299144E-11
1.516500E+03 9.703216E-09 +/-  3.284811E-11
1.517500E+03 9.700348E-09 +/-  3.275445E-11
1.518500E+03 9.627150E-09 +/-  3.255364E-11
1.519500E+03 9.660349E-09 +/-  3.254283E-11
