 u,U -> m,M
x-axis: "Mass{p3+p4}]"  from 500.000000 to 2000.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.607500E+03 7.887702E-07 +/-  6.133974E-09
1.612500E+03 7.751363E-07 +/-  6.014066E-09
1.617500E+03 7.645931E-07 +/-  5.914154E-09
1.622500E+03 7.485531E-07 +/-  5.792858E-09
1.627500E+03 7.292873E-07 +/-  5.646041E-09
1.632500E+03 7.244943E-07 +/-  5.571683E-09
1.637500E+03 7.132330E-07 +/-  5.482504E-09
1.642500E+03 6.981407E-07 +/-  5.397951E-09
1.647500E+03 7.022032E-07 +/-  5.397672E-09
1.652500E+03 6.812969E-07 +/-  5.235547E-09
1.657500E+03 6.684133E-07 +/-  5.110017E-09
1.662500E+03 6.554743E-07 +/-  5.017304E-09
1.667500E+03 6.536284E-07 +/-  4.978345E-09
1.672500E+03 6.327245E-07 +/-  4.838360E-09
1.677500E+03 6.290494E-07 +/-  4.795595E-09
1.682500E+03 6.176941E-07 +/-  4.701075E-09
1.687500E+03 6.043470E-07 +/-  4.608489E-09
1.692500E+03 5.979226E-07 +/-  4.537821E-09
1.697500E+03 5.957531E-07 +/-  4.500451E-09
1.702500E+03 5.790875E-07 +/-  4.377272E-09
1.707500E+03 5.723523E-07 +/-  4.325097E-09
1.712500E+03 5.615562E-07 +/-  4.231927E-09
1.717500E+03 5.546746E-07 +/-  4.190088E-09
1.722500E+03 5.436071E-07 +/-  4.112806E-09
1.727500E+03 5.369024E-07 +/-  4.042241E-09
1.732500E+03 5.329987E-07 +/-  3.990711E-09
1.737500E+03 5.157064E-07 +/-  3.864594E-09
1.742500E+03 5.153556E-07 +/-  3.865911E-09
1.747500E+03 5.022318E-07 +/-  3.787701E-09
1.752500E+03 4.958426E-07 +/-  3.718205E-09
1.757500E+03 4.893081E-07 +/-  3.752112E-09
1.762500E+03 4.854928E-07 +/-  3.727980E-09
1.767500E+03 4.808140E-07 +/-  3.682798E-09
1.772500E+03 4.678670E-07 +/-  3.594159E-09
1.777500E+03 4.611899E-07 +/-  3.530592E-09
1.782500E+03 4.549426E-07 +/-  3.480477E-09
1.787500E+03 4.481563E-07 +/-  3.422772E-09
1.792500E+03 4.447277E-07 +/-  3.383782E-09
1.797500E+03 4.341733E-07 +/-  3.317162E-09
1.802500E+03 4.372921E-07 +/-  3.321870E-09
1.807500E+03 4.191088E-07 +/-  3.202241E-09
1.812500E+03 4.179225E-07 +/-  3.178747E-09
1.817500E+03 4.110014E-07 +/-  3.111624E-09
1.822500E+03 4.044532E-07 +/-  3.068481E-09
1.827500E+03 3.951787E-07 +/-  2.998259E-09
1.832500E+03 3.928489E-07 +/-  2.974591E-09
1.837500E+03 3.807270E-07 +/-  2.903906E-09
1.842500E+03 3.779394E-07 +/-  2.849639E-09
1.847500E+03 3.751580E-07 +/-  2.829559E-09
1.852500E+03 3.691944E-07 +/-  2.780323E-09
1.857500E+03 3.660895E-07 +/-  2.746512E-09
1.862500E+03 3.555252E-07 +/-  2.688852E-09
